Lat:    34.8333, Lon:  -123.0000, Parameter: z(m)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
02-Dec-2017 20:59:59    -0.4743
02-Dec-2017 21:59:59    -0.8068
02-Dec-2017 22:59:59    -0.9890
02-Dec-2017 23:59:59    -0.9921
03-Dec-2017 00:59:59    -0.8282
03-Dec-2017 01:59:59    -0.5462
03-Dec-2017 02:59:59    -0.2193
03-Dec-2017 03:59:59     0.0743
03-Dec-2017 04:59:59     0.2704
03-Dec-2017 05:59:59     0.3346
03-Dec-2017 06:59:59     0.2703
03-Dec-2017 07:59:59     0.1166
03-Dec-2017 08:59:59    -0.0632
03-Dec-2017 09:59:59    -0.1990
03-Dec-2017 10:59:59    -0.2333
03-Dec-2017 11:59:59    -0.1372
03-Dec-2017 12:59:59     0.0808
03-Dec-2017 13:59:59     0.3758
03-Dec-2017 14:59:59     0.6774
03-Dec-2017 15:59:59     0.9066
03-Dec-2017 16:59:59     0.9962
03-Dec-2017 17:59:59     0.9084
03-Dec-2017 18:59:59     0.6451
03-Dec-2017 19:59:59     0.2486
03-Dec-2017 20:59:59    -0.2071
03-Dec-2017 21:59:59    -0.6337
03-Dec-2017 22:59:59    -0.9491
03-Dec-2017 23:59:59    -1.0959
04-Dec-2017 00:59:59    -1.0552
04-Dec-2017 01:59:59    -0.8496
04-Dec-2017 02:59:59    -0.5366
04-Dec-2017 03:59:59    -0.1941
04-Dec-2017 04:59:59     0.0998
04-Dec-2017 05:59:59     0.2854
04-Dec-2017 06:59:59     0.3360
04-Dec-2017 07:59:59     0.2633
04-Dec-2017 08:59:59     0.1125
04-Dec-2017 09:59:59    -0.0506
04-Dec-2017 10:59:59    -0.1579
04-Dec-2017 11:59:59    -0.1582
04-Dec-2017 12:59:59    -0.0315
04-Dec-2017 13:59:59     0.2048
04-Dec-2017 14:59:59     0.4990
04-Dec-2017 15:59:59     0.7780
04-Dec-2017 16:59:59     0.9656
04-Dec-2017 17:59:59     1.0015
04-Dec-2017 18:59:59     0.8582
04-Dec-2017 19:59:59     0.5481
04-Dec-2017 20:59:59     0.1223
04-Dec-2017 21:59:59    -0.3404
04-Dec-2017 22:59:59    -0.7523
04-Dec-2017 23:59:59    -1.0359
05-Dec-2017 00:59:59    -1.1427
05-Dec-2017 01:59:59    -1.0632
05-Dec-2017 02:59:59    -0.8281
05-Dec-2017 03:59:59    -0.5001
05-Dec-2017 04:59:59    -0.1574
05-Dec-2017 05:59:59     0.1254
05-Dec-2017 06:59:59     0.2953
05-Dec-2017 07:59:59     0.3332
05-Dec-2017 08:59:59     0.2569
05-Dec-2017 09:59:59     0.1147
05-Dec-2017 10:59:59    -0.0286
05-Dec-2017 11:59:59    -0.1098
05-Dec-2017 12:59:59    -0.0852
05-Dec-2017 13:59:59     0.0575
05-Dec-2017 14:59:59     0.2944
05-Dec-2017 15:59:59     0.5712
05-Dec-2017 16:59:59     0.8167
05-Dec-2017 17:59:59     0.9601
05-Dec-2017 18:59:59     0.9502
05-Dec-2017 19:59:59     0.7686
05-Dec-2017 20:59:59     0.4356
05-Dec-2017 21:59:59     0.0068
05-Dec-2017 22:59:59    -0.4394
05-Dec-2017 23:59:59    -0.8194
06-Dec-2017 00:59:59    -1.0637
06-Dec-2017 01:59:59    -1.1322
06-Dec-2017 02:59:59    -1.0234
06-Dec-2017 03:59:59    -0.7728
06-Dec-2017 04:59:59    -0.4441
06-Dec-2017 05:59:59    -0.1125
06-Dec-2017 06:59:59     0.1532
06-Dec-2017 07:59:59     0.3070
06-Dec-2017 08:59:59     0.3356
06-Dec-2017 09:59:59     0.2602
06-Dec-2017 10:59:59     0.1288
06-Dec-2017 11:59:59     0.0025
06-Dec-2017 12:59:59    -0.0617
06-Dec-2017 13:59:59    -0.0268
06-Dec-2017 14:59:59     0.1138
06-Dec-2017 15:59:59     0.3341
06-Dec-2017 16:59:59     0.5810
06-Dec-2017 17:59:59     0.7884
06-Dec-2017 18:59:59     0.8932
06-Dec-2017 19:59:59     0.8525
06-Dec-2017 20:59:59     0.6547
06-Dec-2017 21:59:59     0.3241
06-Dec-2017 22:59:59    -0.0840
06-Dec-2017 23:59:59    -0.4954
07-Dec-2017 00:59:59    -0.8336
07-Dec-2017 01:59:59    -1.0373
07-Dec-2017 02:59:59    -1.0741
07-Dec-2017 03:59:59    -0.9471
07-Dec-2017 04:59:59    -0.6934
07-Dec-2017 05:59:59    -0.3739
07-Dec-2017 06:59:59    -0.0591
